seqnames,start,end,width,strand,readthrough,tss_anti.ind,tss_anti.gene_id,tss_anti.gene_name,gene_body_anti.ind,gene_body_anti.gene_id,gene_body_anti.gene_name,tss.ind,tss.gene_id,tss.gene_name,antisense.ind,antisense.gene_id,antisense.gene_name,anti_unique_id,nearest.tss.dist,antisense.type,noncode_id,lincpedia_id,Fantom_distance,Fantom_ID,Fantom_set,Fantom_biotype,Fantom_type,Fantom_trait,max.cor,cluster,Rutkowski_FoursU_mock_GSM1444171_GSM1444185 ,Rutkowski_FoursU_1hpi_GSM1444172_GSM1444186 ,Rutkowski_FoursU_2hpi_GSM1444173_GSM1444187 ,Rutkowski_FoursU_3hpi_GSM1444174_GSM1444188 ,Rutkowski_FoursU_4hpi_GSM1444175_GSM1444189 ,Rutkowski_FoursU_5hpi_GSM1444176_GSM1444190 ,Rutkowski_FoursU_6hpi_GSM1444177_GSM1444191 ,Rutkowski_FoursU_7hpi_GSM1444178_GSM1444192 ,Rutkowski_FoursU_8hpi_GSM1444179_GSM1444193 ,Rutkowski_RNAseq_mock_GSM1444166_GSM1444180 ,Rutkowski_RNAseq_2hpi_GSM1444167_GSM1444181 ,Rutkowski_RNAseq_4hpi_GSM1444168_GSM1444182 ,Rutkowski_RNAseq_6hpi_GSM1444169_GSM1444183 ,Rutkowski_RNAseq_8hpi_GSM1444170_GSM1444184 ,Breuer_VZV_mock_ERS317032_ERS317034,Breuer_VZV_120hpi_ERS317041_ERS317029,Tirosh_CMV_mock_GSM1712278,Tirosh_CMV_5hpi_GSM1712281,Tirosh_CMV_12hpi_GSM1712282,Tirosh_CMV_24hpi_GSM1712283,Tirosh_CMV_72hpi_GSM1712284,Schlackow_tss.Total.mNET_mock_GSM2357382,Schlackow_tss.TotalsiEX3.mNET_mock_GSM2241322_GSM2357383,Schlackow_tss.TotalsiLuc.mNET_mock_GSM2241321_GSM2357384,WI38-polyA-stranded_0h,WI38-polyA-stranded_4h,WI38-polyA-stranded_9h,WI38-polyA-stranded_15h,RZ-HeLa_EYFP,RZ-HeLa_EYFP-ICP4,polyA-HeLa_wtHeLa-0h,polyA-HeLa_wtHeLa-2h,polyA-HeLa_wtHeLa-4h,polyA-HeLa_wtHeLa-6h,polyA-HeLa_mut56D2-0h,polyA-HeLa_mut56D2-2h,polyA-HeLa_mut56D2-4h,polyA-HeLa_mut56D2-6h,polyA-HeLa_mut59F8-0h,polyA-HeLa_mut59F8-2h,polyA-HeLa_mut59F8-4h,polyA-HeLa_mut59F8-6h
chr1,762242,799762,37521,+,FALSE,TRUE,ENSG00000225880,LINC00115,TRUE,ENSG00000225880,LINC00115,TRUE,ENSG00000228794,LINC01128,FALSE,None,None,Anti000001,643,Convergent,NONHSAT148191.1,None,26,ENSG00000228794.4,lv3_robust,nonCoding,lncRNA_intergenic,GWAS_DOID_162_cancer[7.70E-09],0.80952381,1,6.27,6.51,6.42,6.76,6.45,5.99,5.095,5.205,5.32,6.055,6.82,6.645,5.21,3.94,4.675,4.515,8.31,8.68,8.76,8.63,6.94,12.38,13.285,13.02,4.87,5.015,3.705,3.325,5.4,5.36,6.05,6.12,6.275,6.79,5.875,6.13,5.855,5.995,6.885,6.405,6.645,6.645
chr1,932472,948802,16331,+,FALSE,TRUE,ENSG00000272512,RP11-54O7.17,TRUE,ENSG00000272512,RP11-54O7.17,FALSE,None,None,FALSE,None,None,Anti000004,958,Convergent,NONHSAT000219.2,lnc-ISG15-1,236,CATG00000096866.1,lv1_raw,coding,NA,NA,0.904761905,2,4.575,4.67,5.01,5.955,6.35,6.355,5.81,5.38,4.905,2.9,4.385,6.1,5.675,4.075,6.495,5.89,7.87,7.67,5.49,5.28,5.19,12.07,12.885,12.59,2.85,4.7,5.335,3.1,4.53,4.98,2.65,2.385,5.035,5.145,2.365,2.215,4.8,4.42,4.735,4.2,6.57,5.915
chr1,1043123,1066056,22934,+,FALSE,FALSE,None,None,TRUE,ENSG00000131591,C1orf159,FALSE,None,None,FALSE,None,None,Anti000006,-1615,Divergent,None,None,8695,CATG00000011129.1,lv4_stringent,nonCoding,uncertain_coding,__na,-0.380952381,3,0,0.255,1.165,4.93,6.14,7.09,7.12,8.05,8.47,0.585,0.905,3.83,4.96,5.065,3.285,4.11,1.56,1.4,0.51,1.55,0.45,0,2.79,5.31,1.955,2.6,4.4,3.78,0.52,0.52,0,0.26,1.17,3.115,0,0.25,0,1.25,0.53,0,1.73,2.5
chr1,1209502,1210602,1101,+,FALSE,TRUE,ENSG00000160087,UBE2J2,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti000009,-236,Divergent,None,None,85,ENSG00000162572.15,lv4_stringent,coding,coding_mRNA,__na,0.976190476,4,7.16,6.665,6.895,7.525,6.585,6.04,5.545,5.47,4.055,6.065,6.81,6.89,6.15,4.945,1.745,4.635,9.82,7.98,6.96,8.68,8.78,5.27,6.41,7.28,5.99,6.71,4.89,3.955,6.02,7,1.645,4.525,4.06,2.5,4.3,5.42,4.675,4.85,5.8,2.605,5.37,3.89
chr1,1286874,1297986,11113,+,FALSE,FALSE,None,None,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti000012,-2143,Divergent,None,None,38,CATG00000033020.1,lv2_permissive,nonCoding,coding_mRNA,__na,NA,2,4.905,5.055,5.465,5.925,5.7,5.61,4.685,5.04,5.015,3.865,5.33,5.485,4.605,3.9,4.435,6.33,6.29,4.98,6.88,7.71,6.31,0,0,5.31,10.64,10.415,9.895,7.065,5.74,5.78,5.24,5.44,6.155,5.485,5.86,5.64,6.37,6.205,6.715,5.135,6.305,6.34
chr1,1591277,1604713,13437,+,FALSE,TRUE,ENSG00000248333,CDK11B,FALSE,None,None,FALSE,None,None,TRUE,ENSG00000269737:ENSG00000272004,RP11-345P4.7:RP11-345P4.10,Anti000018,-803,Divergent,None,None,788,ENSG00000272004.1,lv4_stringent,nonCoding,lncRNA_divergent,__na,-0.380952381,1,4.705,4.77,4.37,3.475,2.95,4.05,4.42,4.855,5.765,4.14,3.955,3.675,4.28,4.925,6.75,6.76,6.54,4.99,6.18,5.83,4.42,0,0,0,8.13,7.6,5.875,3.775,4.72,4.34,4.28,4.365,4.245,2.015,4.155,4.225,3.14,1.465,4.965,4.82,3.75,2.065
chr1,1823262,1829727,6466,+,FALSE,TRUE,ENSG00000078369,GNB1,FALSE,None,None,FALSE,None,None,TRUE,ENSG00000231050,RP1-140A9.1,Anti000020,-766,Divergent,NONHSAT148230.1,lnc-CALML6-1,288,ENSG00000231050.1,lv4_stringent,coding,lncRNA_divergent,__na,0.476190476,1,5.4,5.025,5.73,6.165,5.91,5.345,4.505,4.99,5.1,4.11,5.435,5.815,4.755,3.995,1.415,2.345,5.22,2.29,3.32,5.14,5.81,0,3.42,5.31,0.66,0.675,1.445,0.725,3.37,3.36,1.645,2.22,1.005,0,1.995,0.98,1.31,1.42,2.29,1.685,1.345,0.7
chr1,1840156,1846265,6110,+,FALSE,FALSE,None,None,FALSE,None,None,FALSE,None,None,FALSE,None,None,Anti000021,10079,None,NONHSAT153316.1,None,599,ENSG00000169885.5,lv4_stringent,coding,coding_mRNA,__na,NA,4,4.9,5.39,4.99,4.435,4.055,4.35,2.95,3.39,3.865,4.195,5.44,4.62,4.375,3.405,4.275,3.49,7.15,6.61,4.72,4.41,4.11,10.96,12.22,11.64,3.385,2.34,1.855,0,3.82,3.63,1.935,2.98,3.515,2.12,2.645,2.8,2.245,2.185,3.205,1.28,2.155,1.32
chr1,2461062,2477903,16842,+,FALSE,TRUE,ENSG00000197921,HES5,TRUE,ENSG00000197921,HES5,FALSE,None,None,FALSE,None,None,Anti000026,621,Convergent,None,None,216,ENSG00000272449.1,lv4_stringent,coding,lncRNA_intergenic,GWAS_DOID_2377_multiple_sclerosis[1.00E-14],0.476190476,4,5.34,5.305,5.685,5.2,4.45,4.625,3.5,4.085,3.14,4.275,5.5,4.6,4.41,3,2.08,2.965,2.31,3.2,2.63,3.39,3.84,0,6.7,6.29,0.33,1.835,1.155,0,1.48,1.13,0,0.56,0,0,0,0,0,0.36,0.685,0.67,0.335,0.355
chr1,2514715,2517929,3215,+,FALSE,FALSE,None,None,FALSE,None,None,FALSE,None,None,TRUE,ENSG00000228037,RP3-395M20.9,Anti000028,9401,Convergent,NONHSAT148245.1,None,657,ENSG00000228037.1,lv2_permissive,nonCoding,NA,NA,NA,5,2.865,1.71,2.665,3.03,3.05,4.64,4.885,5.08,5.14,1.1,2.635,3.64,3.49,3.645,0,3.455,0,2.29,2.82,0,0,9.69,10.3,9.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06
